"","","","/表頭_項目_db","事業所数","合計","衣料品計","紳士服・洋品","婦人・子供服・洋品","その他の衣料品","身の回り品","飲食料品","その他計","家具","家庭用電気機械器具","家庭用品","その他の商品","食堂・喫茶","商品券販売額","営業日数","従業者数","売場面積"
"地域_db","表側_項目_db","時間軸_db","/単位_db","店","百万円","百万円","百万円","百万円","百万円","百万円","百万円","百万円","百万円","百万円","百万円","百万円","百万円","百万円","日","人","千平方m"
"北海道","合計(百貨店＋スーパー)","2018年","","306","965721","142131","24732","78819","7039","31540","662179","161411","2126","7900","19913","126146","5326","4445","363.4","32589","1424"
"北海道","合計(百貨店＋スーパー)","2019年","","309","961844","138353","23669","77118","6955","30611","662235","161256","2080","6760","19312","127732","5371","4261","363.9","32729","1400"
"北海道","合計(百貨店＋スーパー)","2020年","","339","965247","100712","17433","55742","5518","22020","712443","152092","1544","7141","16867","123841","2698","3932","363.7","32547","1462"
"北海道","合計(百貨店＋スーパー)","2018年度","","306","965871","141689","24619","78559","7026","31484","663080","161102","2117","7772","19860","126007","5346","4453","363.7","31334","1404"
"北海道","合計(百貨店＋スーパー)","2019年度","","340","956606","130286","22429","72287","6694","28876","667407","158914","1970","6435","18878","126618","5014","4110","364.6","30003","1470"
"北海道","合計(百貨店＋スーパー)","2020年1～3月","","340","232030","27501","4726","15581","1314","5880","166226","38303","363","1932","4188","30874","946","810","90.4","30003","1470"
"北海道","合計(百貨店＋スーパー)","2020年4～6月","","338","228493","18036","3571","9715","1049","3701","176398","34059","255","1601","3867","28014","323","860","90.5","32393","1464"
"北海道","合計(百貨店＋スーパー)","2020年7～9月","","339","242702","25844","4033","14409","1530","5872","178231","38627","486","1694","4294","31410","742","1027","91.4","32485","1465"
"北海道","合計(百貨店＋スーパー)","2020年10～12月","","339","262022","29331","5103","16037","1625","6566","191588","41103","440","1915","4518","33544","687","1234","91.4","32547","1462"
"北海道","合計(百貨店＋スーパー)","2020年1月","","309","80992","12642","2220","7056","535","2830","54515","13835","154","670","1551","11002","458","296","30.7","33815","1400"
"北海道","合計(百貨店＋スーパー)","2020年2月","","309","72580","7373","1239","4254","354","1527","53802","11405","96","462","1364","9179","304","205","29.3","32399","1402"
"北海道","合計(百貨店＋スーパー)","2020年3月","","340","78458","7486","1267","4271","425","1523","57909","13063","114","800","1273","10693","183","309","30.4","30003","1470"
"北海道","合計(百貨店＋スーパー)","2020年4月","","340","72311","4127","746","2149","287","946","57757","10427","60","469","1164","8637","97","348","30","32543","1468"
"北海道","合計(百貨店＋スーパー)","2020年5月","","340","74002","3705","799","1939","253","715","59733","10563","49","515","1193","8768","38","219","30.3","32110","1468"
"北海道","合計(百貨店＋スーパー)","2020年6月","","338","82181","10203","2026","5628","510","2040","58908","13069","146","617","1511","10608","187","294","30.2","32393","1464"
"北海道","合計(百貨店＋スーパー)","2020年7月","","339","82021","9348","1513","5049","534","2251","60089","12584","164","573","1430","10177","241","361","30.6","32282","1466"
"北海道","合計(百貨店＋スーパー)","2020年8月","","339","83093","7973","1196","4488","475","1814","61851","13269","172","601","1452","10792","252","328","30.9","32809","1465"
"北海道","合計(百貨店＋スーパー)","2020年9月","","339","77588","8524","1324","4871","521","1807","56291","12774","151","521","1412","10441","249","337","29.9","32485","1465"
"北海道","合計(百貨店＋スーパー)","2020年10月","","338","78560","9802","1743","5501","579","1979","56779","11980","162","526","1338","9680","274","278","30.6","31990","1463"
"北海道","合計(百貨店＋スーパー)","2020年11月","","339","80298","8934","1552","4809","460","2113","59002","12363","134","609","1357","10080","183","334","30.1","32636","1462"
"北海道","合計(百貨店＋スーパー)","2020年12月","","339","103164","10596","1807","5728","586","2474","75808","16760","143","780","1823","13784","230","623","30.7","32547","1462"
"北海道","百貨店","2018年","","14","200624","89054","11942","52347","3701","21064","63150","48420","1747","500","5093","36727","4354","1466","362.2","2827","226"
"北海道","百貨店","2019年","","13","197546","86384","11176","51215","3531","20462","62209","48953","1679","491","4722","37649","4413","1290","364.4","2686","207"
"北海道","百貨店","2020年","","13","139078","57789","7240","34660","2527","13361","48745","32544","1133","557","3404","25121","2329","924","357.2","2573","207"
"北海道","百貨店","2018年度","","13","200459","88780","11892","52184","3684","21020","62908","48772","1742","503","5004","37139","4385","1426","362.4","2682","207"
"北海道","百貨店","2019年度","","13","186290","80427","10410","47592","3315","19110","59961","45902","1580","478","4441","35331","4073","1224","364.8","2679","207"
"北海道","百貨店","2020年1～3月","","13","39856","17183","2215","10368","658","3942","13070","9604","281","119","911","7515","778","202","89.9","2679","207"
"北海道","百貨店","2020年4～6月","","13","21436","8294","1179","4977","376","1763","8182","4960","170","136","524","3857","274","152","83.4","2646","207"
"北海道","百貨店","2020年7～9月","","13","36143","15322","1713","9197","774","3638","11928","8893","375","139","931","6773","674","251","92","2588","207"
"北海道","百貨店","2020年10～12月","","13","41643","16991","2133","10118","720","4019","15566","9087","307","163","1038","6976","603","320","91.9","2573","207"
"北海道","百貨店","2020年1月","","13","17643","8495","1095","5069","283","2048","4840","4309","118","50","399","3363","379","85","30.5","2790","207"
"北海道","百貨店","2020年2月","","13","12140","4518","568","2753","176","1021","4813","2810","77","32","260","2189","252","49","28.9","2686","207"
"北海道","百貨店","2020年3月","","13","10073","4170","552","2546","199","873","3418","2485","86","37","252","1963","146","68","30.5","2679","207"
"北海道","百貨店","2020年4月","","13","5410","1774","255","1009","108","402","2312","1324","37","33","140","1042","71","41","27.3","2641","207"
"北海道","百貨店","2020年5月","","13","3738","861","141","510","45","165","2081","796","25","44","69","627","31","17","26.1","2637","207"
"北海道","百貨店","2020年6月","","13","12288","5659","782","3458","223","1196","3789","2840","107","58","315","2187","172","94","30","2646","207"
"北海道","百貨店","2020年7月","","13","12726","5536","659","3228","263","1387","4353","2837","127","50","335","2106","219","115","31","2645","207"
"北海道","百貨店","2020年8月","","13","11416","4644","498","2825","243","1078","3947","2825","139","50","283","2123","230","67","31","2593","207"
"北海道","百貨店","2020年9月","","13","12001","5142","556","3145","268","1173","3628","3231","110","40","312","2544","225","68","30","2588","207"
"北海道","百貨店","2020年10月","","13","12884","5779","763","3465","283","1268","4244","2860","120","43","300","2159","239","62","31","2572","207"
"北海道","百貨店","2020年11月","","13","11443","4744","592","2848","186","1118","4076","2623","91","52","290","2035","156","90","29.9","2580","207"
"北海道","百貨店","2020年12月","","13","17316","6468","779","3805","250","1633","7245","3604","96","68","448","2782","209","168","31","2573","207"
"北海道","スーパー","2018年","","292","765096","53077","12790","26473","3338","10476","599028","112991","379","7400","14820","89419","972","2979","363.4","29762","1198"
"北海道","スーパー","2019年","","296","764298","51969","12493","25903","3424","10149","600026","112303","401","6269","14591","90084","958","2971","363.9","30043","1193"
"北海道","スーパー","2020年","","326","826170","42923","10193","21082","2990","8658","663698","119548","411","6584","13463","98720","369","3008","364.1","29974","1255"
"北海道","スーパー","2018年度","","293","765411","52909","12727","26375","3342","10465","600172","112330","376","7270","14856","88868","961","3027","363.7","28652","1198"
"北海道","スーパー","2019年度","","327","770317","49859","12019","24694","3379","9766","607446","113012","390","5958","14436","91288","941","2886","364.7","27324","1263"
"北海道","スーパー","2020年1～3月","","327","192174","10318","2511","5213","656","1939","153156","28699","82","1813","3277","23360","168","608","90.5","27324","1263"
"北海道","スーパー","2020年4～6月","","325","207058","9742","2392","4739","673","1938","168217","29099","86","1465","3343","24157","49","708","90.8","29747","1257"
"北海道","スーパー","2020年7～9月","","326","206559","10523","2320","5212","756","2234","166303","29734","111","1554","3364","24636","68","776","91.4","29897","1258"
"北海道","スーパー","2020年10～12月","","326","220379","12341","2969","5919","904","2548","176022","32016","133","1752","3479","26567","84","915","91.4","29974","1255"
"北海道","スーパー","2020年1月","","296","63350","4147","1125","1987","252","782","49676","9527","36","620","1152","7639","79","211","30.7","31025","1194"
"北海道","スーパー","2020年2月","","296","60439","2855","670","1501","178","506","48990","8594","19","430","1104","6990","51","157","29.4","29713","1195"
"北海道","スーパー","2020年3月","","327","68385","3316","716","1724","226","650","54491","10578","27","763","1021","8730","37","241","30.4","27324","1263"
"北海道","スーパー","2020年4月","","327","66901","2353","490","1140","179","544","55445","9103","23","436","1023","7595","26","307","30.1","29902","1261"
"北海道","スーパー","2020年5月","","327","70264","2844","658","1429","208","550","57652","9767","24","470","1124","8142","7","201","30.5","29473","1261"
"北海道","スーパー","2020年6月","","325","69893","4545","1244","2169","287","844","55119","10229","39","558","1195","8421","15","199","30.2","29747","1257"
"北海道","スーパー","2020年7月","","326","69295","3811","854","1822","271","864","55736","9747","37","523","1095","8071","22","246","30.6","29637","1259"
"北海道","スーパー","2020年8月","","326","71677","3329","698","1663","232","736","57904","10444","33","551","1169","8668","22","261","30.9","30216","1259"
